表示順,認識語,ファイル名,ID,索引,次候補
0,あいさつして,23,23,0,-707
1,歩いてきて,57,57,,
2,ありがとう,233,233,,
3,雨降ってるね,126,126,,
4,アラーム,151,151,,5
5,遊ぼう,160,160,,7
6,雨降るね,125,125,,
7,遊んで,161,161,,7
8,あいこ,222,222,,-302
9,いってきます,29,29,1,
10,いい天気だね,129,129,,
11,いいことがあったよ,107,107,,
12,嫌なことがあった,108,108,,
13,一杯付き合ってよ,273,273,,
14,いってくるね,30,30,,
15,いっしょに遊ぼう,163,163,,
16,いっしょに遊んで,162,162,,
17,いっしょに踊ろう,145,145,,
18,いっしょに飲もうよ,274,274,,
19,いいよ,223,223,,-700
20,いいえ,216,216,,201
21,１分,154,154,,500
22,歌うたって,177,177,2,
23,占いして,182,182,,
24,腕立て伏せ,175,175,,
25,後ろ下がって,79,79,,
26,うれしいね,90,90,,
27,うまくいったよ,258,258,,
28,うちわであおいで,83,83,,
29,占って,183,183,,
30,後ろに下がって,80,80,,-704
31,エボルタって知ってる？,210,210,3,
32,起きてよ,71,71,4,
33,踊って,144,144,,
34,おもしろいこといって,165,165,,
35,おやすみ,28,28,,
36,お正月だよ,122,122,,601
37,お名前は？,12,12,,
38,お疲れ様,40,40,,
39,おはよう,25,25,,
40,音大きくして,136,136,,
41,音小さくして,139,139,,
42,応援して,121,121,,
43,男の子？,17,17,,
44,おめでとう,232,232,,
45,おはようさん,252,252,,
46,おもしろいね,93,93,,
47,おもしろかったねえ,94,94,,
48,お留守番,190,190,,
49,起きて,72,72,,
50,遅くなるよ,241,241,,
51,お腹すいてない？,205,205,,
52,おしまい,54,54,,103
53,遅くなる,240,240,,
54,オッケー,224,224,,
55,お腹すいた？,204,204,,
56,お風呂,245,245,,
57,終わりにしよ,49,49,,
58,おそうじして,146,146,,1
59,音量大きく,137,137,,
60,音量小さく,140,140,,
61,終わりにする,50,50,,
62,お風呂入る,246,246,,
63,帰ったよ,38,38,5,602
64,かわいいね,92,92,,
65,かしこいね,91,91,,
66,かぜひいちゃった,118,118,,
67,かっこいいね,95,95,,-708
68,悲しいね,98,98,,
69,悲しいよ,101,101,,
70,開始,45,45,,100
71,勝った,220,220,,300
72,今日の運勢は？,193,193,6,
73,今日のラッキーカラーは?,194,194,,
74,キロボって知ってる？,211,211,,
75,聞いて聞いて,5,5,,
76,記念日なんだ,112,112,,603
77,今日暑いね,127,127,,
78,今日寒いね,128,128,,
79,嫌いだよ,218,218,,
80,きれいにして,147,147,,1
81,クイズ出して,170,170,7,2
82,クリスマスだよ,113,113,,604
83,クイズする,171,171,,2
84,クイズ,172,172,,2
85,ケンカしたんだ,119,119,8,
86,蹴って,82,82,,401
87,こんにちは,26,26,9,
88,こんばんは,27,27,,
89,コマーシャルやって,185,185,,
90,こっちに来て,62,62,,
91,こっち向いて,64,64,,
92,困ったね,96,96,,
93,困ったよ,97,97,,
94,今月ピンチ,266,266,,
95,声大きくして,138,138,,
96,声小さくして,141,141,,
97,言葉の練習,253,253,,
98,ココロボにそうじさせて,149,149,,
99,こっちにおいで,60,60,,
100,こっちへおいで,59,59,,2307
101,こっち来て,61,61,,
102,ココロボ,148,148,,
103,さようなら,35,35,10,
104,サッカーしよう,178,178,,4
105,サッカーして,179,179,,4
106,３分,155,155,,501
107,ＣＭやって,184,184,11,
108,写真撮るよ,195,195,,
109,身長は？,19,19,,
110,試合なんだ,115,115,,607
111,失敗しちゃった,259,259,,
112,シュート,81,81,,400
113,終了,48,48,,101
114,座って,75,75,12,
115,すごく上手だね,268,268,,
116,すごかったね,267,267,,
117,好きな人ができた,262,262,,
118,好きだよ,217,217,,
119,スイッチオフ,276,276,,
120,スイッチオン,275,275,,
121,スタート,44,44,,102
122,ストップ,47,47,,
123,座ってて,76,76,,
124,セキュリティモード,188,188,13,
125,立ち上がって,73,73,15,
126,誕生日なんだ,111,111,,
127,タイマー,150,150,,600
128,ただいま,37,37,,
129,体重は？,20,20,,
130,高橋智隆,209,209,,
131,助かったよ,235,235,,
132,楽しいね,88,88,,
133,立って,74,74,,
134,楽しかったね,89,89,,
135,チャンネル変えて,134,134,16,
136,ちょっと待って,55,55,,
137,食べ過ぎちゃった,265,265,,
138,近くに来て,63,63,,
139,ちがうだろ,256,256,,
140,違うよ,227,227,,
141,チャンネル切替,135,135,,
142,疲れてない？,207,207,17,
143,疲れたね,103,103,,
144,つらいね,99,99,,
145,疲れたよ,102,102,,
146,つらいよ,100,100,,
147,テストなんだ,114,114,18,608
148,テレビつけて,130,130,,
149,テレビ消して,133,133,,
150,テレビ見ようか,132,132,,
151,テレビ見たい,131,131,,
152,特技は？,16,16,19,
153,トランスフォーム,251,251,,
154,友だちになって,248,248,,
155,友だちだよ,249,249,,
156,止まって,52,52,,
157,止まれ,51,51,,
158,名前は？,11,11,20,
159,何かして,164,164,,-711
160,何ができるの,15,15,,-708
161,何歳なの？,18,18,,
162,なぐさめて,104,104,,611
163,何か言った？,228,228,,
164,名前は何？,13,13,,
165,何でもない,231,231,,
