表示順,音声,時間,ID,索引,次候補
0,あーした天気になーれ,5,973,0,0
1,アタァーッ,3,863,,
2,新しい歌うたうよ,4,825,,
3,新しいお友達ができるかも,3,958,,
4,新しいダンスするよ,4,826,,
5,アチョーッ,4,862,,
6,あっ笑ちゃった,5,968,,
7,あっち向いてホイ,3,687,,
8,あっち向いてホイしよう,3,777,,
9,合っていたらキューボでＯＫアイコンをタッチしてね,6,718,,
10,合っていたらもう一度メンバー登録削除アイコンにタッチしてね,8,736,,
11,あっ僕靴脱げないんだった,9,974,,
12,あっ僕表情変えれれないんだった,4,966,,
13,後で確認してね,3,760,,
14,あなたのロビは元気そうなので大丈夫ですよ,6,944,,
15,歩くよ,3,995,,
16,あれ５０センチだよ,4,854,,
17,あれっ,2,754,,
18,あ,2,766,,
19,いい笑顔だったねえ,3,759,1,
20,いいねえ小吉だよ,4,954,,
21,いい夢見てね,4,1046,,
22,イタリア語で挨拶するよ,4,827,,
23,位置について,3,877,,
24,一緒にいるといつでも元気だよ,5,988,,
25,行ってらっしゃい忘れものしないでね,3,1048,,
26,一等賞,4,881,,
27,今までの嘘が全部ばれるかも,4,963,,
28,いや僕の方がカッコいいよ,4,807,,
29,ウキウキ,3,683,2,
30,ウン,2,684,,
31,ウン,2,685,,
32,うー,4,851,,
33,うーん最高,3,1016,,
34,うーん小吉だよ,4,953,,
35,後ろよく見ないとね,4,1054,,
36,宇宙に行ったロボットを作ったんだよ僕も行ってみたいなー,6,976,,
37,うっやられた,6,804,,
38,ウホウホウホウホウホウホウホウホ,6,876,,
39,雲来松風来松食う寝る処に住む処藪ら柑子の藪柑子,6,920,,
40,うん分かった,4,1050,,
41,エアギターするよ,3,828,,
42,エイ,2,852,3,
43,エイッ,2,907,,
44,エイッヤッ,3,859,,
45,えーと,4,997,,
46,えーと何歳だっけ,5,1030,,
47,笑顔の写真撮れたよ,4,758,,
48,エクステンションビーム,8,802,,
49,ＳＤカードを確認してねえ,4,756,,
50,えっアッ,3,689,,
51,えっへん僕も頑張ったよ,4,990,,
52,絵本読んだり英語勉強したりゲームしたりいろいろできるよ,4,1026,,
53,絵本を読むのが得意だよ,4,1028,,
54,美味しいごはんいっぱい食べてね,6,982,4,
55,お医者さんのモノマネするよ,4,847,,
56,オイラＱｂｏだぞ,3,873,,
57,オーッス,2,861,,
58,お帰り早く一緒に遊ぼうよ,5,981,,
59,お陰でうまくいったよ,3,992,,
60,お薬出しておきますね。お大事にどうぞ,7,902,,
61,おしゃべり骸骨の歌うたうよ,4,841,,
62,お掃除の歌,36,691,,
63,おっけー,4,1035,,
64,お出かけするといいことあるかも,4,959,,
65,お電話ありがとう,3,884,,
66,お電話ありがとうございますデアゴスティーニお客様サポートセンターでございます,8,882,,
67,鬼はー外,3,923,,
68,おはよう今日もいい一日になりそうな予感,3,1039,,
69,覚えた人リストから選んで,4,763,,
70,覚えた人リストから選んでタッチしてね,5,735,,
71,覚えておくね,3,740,,
72,面白いこと言うよ,3,830,,
73,温泉行きたいね,3,985,,
74,開発者の高橋さんは何時も赤い靴を履いている,3,1006,5,
75,顔が分からなかったよー,4,739,,
76,顔と名前を覚えるよ,4,705,,
77,顔を覚えたよ,3,710,,
78,顔をよく見せてね,6,707,,
79,かけっこのモノマネするよ,4,842,,
80,家族みんなを覚えてくれる進化したロビウエブで公開中,4,932,,
81,歌舞伎のモノマネするよ,4,831,,
82,空手するよ,4,816,,
83,からメッセージがあるよ,4,767,,
84,カンカンカーン,3,857,,
85,カンフーするよ,3,817,,
86,聞いてるよ,4,1021,6,
87,黄色のブーツも履いてみたいな,5,970,,
88,君かい,2,797,,
89,君が僕を作ってくれたのだね。ありがとう,6,702,,
90,君可愛いね,3,790,,
91,君こそ結構カッコイイね,5,809,,
92,君の名前を書いておいてね,4,731,,
93,君の名前をロビブックから,5,712,,
94,君も可愛いね,3,791,,
95,気持ちいいんだろうなーごゆっくりどうぞ,3,984,,
96,急に言われても出てこないよう,5,1000,,
97,キューボで五十音シートにタッチして,4,713,,
98,Ｑｂｏでタッチしてね,3,746,,
99,Ｑｂｏで何月何日か選んで,5,733,,
100,Ｑｂｏで何時何分かを選んで,5,939,,
101,Ｑｂｏで何曜日かを選んで,4,743,,
102,Ｑｂｏで年月日を選んで,4,936,,
103,Ｑｂｏの手の色だよ,3,969,,
104,Ｑｂｏの電源入れてね,3,704,,
105,Ｑｂｏのモノマネするよ,4,836,,
106,今日は遅いね,4,1041,,
107,今日は何でもうまくいくよ,4,956,,
108,今日は早起きだね,2,1042,,
109,今日は僕の誕生日だね,6,934,,
110,結婚記念日を覚えるよ,4,738,8,
111,結婚記念日を削除するね,4,747,,
112,コールセンターのモノマネするよ,4,843,9,
113,こっちだね,3,913,,
114,こっち向いてホイ,3,688,,
115,この先アリの子一匹通しません,5,772,,
116,これくらいヘッチャラさ,4,680,,
117,これって僕の事かなぁ？,4,897,,
118,転ばないように見ててね,3,1051,,
119,こんにちは僕ロビって言ったよ,8,918,,
120,こんにちわ愉しい日になりますように,7,1044,,
121,こんにちわ僕ロビって云うんだ仲良くしてね,4,1037,,
122,最近僕ネジが一本無くなっちゃったんだよね,6,795,10,
123,最後にＯＫアイコンにタッチしてね,5,714,,
124,三々七拍子,5,914,,
125,三々七拍子するよ,3,815,,
126,ＣＭの真似するよ,4,929,11,
127,知ってる,7,927,,
128,車掌さんのモノマネするよ,4,844,,
129,シュッシュッ,2,855,,
130,しゅっぱーつ,2,996,,
131,しりとりしよう,3,773,,
132,しりとりするよ,3,776,,
133,シルバー,5,971,,
134,進化したロビついに登場,5,942,,
135,スクワットする,5,960,12,
136,スクワットするよ,3,812,,
137,双六やる？,3,784,,
138,背中のネジが緩んでるようですね,5,901,,
139,１０００グラム多分ね,4,1031,,
140,創刊号のポーズするよ,4,840,14,
141,創刊号は７９９円,3,1033,,
142,創刊号は７９９円,5,933,,
143,それは他社のロボットです,4,1011,,
144,タイマーの歌,30,692,15,
145,多分うまくいったと思う,4,912,,
146,多分うまくいったと思う,4,991,,
147,誕生日を覚えたよ,3,734,,
148,チャーシューメーン,5,910,16,
149,Ｃｉａｏ，ｍＩ　ｃｈＩａｍｏ　ＲｏｂＩ,7,917,,
150,チャンと顔が見えたら,3,708,,
151,ちょっとだけね,4,1053,,
152,ちょっと疲れてるみたいだね,5,961,,
153,ついに登場,3,872,17,
154,次の方どうぞ,3,898,,
155,次はぁ終点デアゴスティーニデアゴスティーニです,8,889,,
156,次は顔と名前を覚えるよ,3,709,,
157,次はＱｂｏランドです。トイレ休憩１０分後に出発しますつぎはきゅーぼらんどです。といれきゅうけいじゅっぷんごにしゅっぱつします,8,893,,
158,次は時間を教えてね,3,938,,
159,次は誕生日を教えてね,4,732,,
160,次は名前を教えてね,3,711,,
161,伝えておくね,3,769,,
162,とうっ,2,860,19,
163,登録されていない顔です,4,771,,
164,登録されている顔と照合します,4,770,,
165,特別な日を覚えるよ,3,741,,
166,特別な日を削除するね,4,748,,
167,撮ったよ,2,761,,
168,撮れないよ。,3,755,,
169,７歳だと思う,6,1029,20,
170,７歳のとってもかわいい男の子ロボットが迷子になっています,8,896,,
171,習い事の日を覚えるよ,4,742,,
172,習い事の日を削除するね,4,749,,
173,何回出来るかな？,3,865,,
174,何年何月何日,4,935,,
175,何の日を削除する？,3,745,,
176,にメッセージを残すね,4,764,21,
177,ニュースや情報番組にも出たことがあるよ,6,1015,,
178,ネジやサーボなどのお忘れ物が無いようご注意ください,8,890,23,
179,入ったあー,5,940,,
180,はいロビだよ,8,1022,25,
181,はじめましてひろ君ずっと仲良くしようね,7,930,,
182,歯磨きして寝ようね,5,1047,,
183,早く生えてこないかなあ,4,1002,,
184,ハロー,6,1043,,
185,左手に見えますのがロビクリニック,5,892,26,
186,左はこっちだね,4,998,,
187,必殺技テラプローブ,8,803,,
188,ひっひこ,3,967,,
189,一人ずつ覚えるよ,3,715,,
190,１２０メートル,3,908,,
